City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,okha,53.5739,142.9478,-2.21,84,100,4.87,RU,1731724677
124,usogorsk,63.4106,48.6872,-2.85,93,95,3.44,RU,1731724679
125,abu dhabi,24.4667,54.3667,28.3,58,0,1.03,AE,1731724533
126,edinburgh of the seven seas,-37.0676,-12.3116,13.99,82,13,7.65,SH,1731724683
127,bredasdorp,-34.5322,20.0403,13.28,95,68,0.27,ZA,1731724685
128,mao,39.8885,4.2658,12.31,82,0,2.06,ES,1731724687
129,sisimiut,66.9395,-53.6735,-6.63,65,89,2.72,GL,1731724690
130,hermanus,-34.4187,19.2345,16.0,91,86,2.62,ZA,1731724691
131,tuscaloosa,33.2098,-87.5692,12.83,80,0,2.57,US,1731724696
132,karagandy,49.8019,73.1021,-7.03,92,6,1.86,KZ,1731724698
133,murun-kuren,49.6342,100.1625,-9.03,60,32,2.91,MN,1731724700
134,kachug,53.9606,105.8817,-11.44,72,36,1.92,RU,1731724702
135,naracoorte,-36.9579,140.7383,35.63,8,62,9.96,AU,1731724703
136,georgetown,5.4112,100.3354,30.96,74,20,2.68,MY,1731724705
137,cape town,-33.9258,18.4232,16.62,81,0,7.6,ZA,1731724706
138,lensk,60.7253,114.9278,-14.69,93,100,2.58,RU,1731724492
139,biedenkopf,50.9167,8.5333,0.9,94,2,1.18,DE,1731724709
140,port elizabeth,-33.918,25.5701,17.16,99,100,3.6,ZA,1731724710
141,kolwezi,-10.7148,25.4667,15.52,99,100,2.3,CD,1731724711
142,mezhdurechensk,53.6942,88.0603,-2.64,95,100,3.8,RU,1731724712
143,darwin,-12.4611,130.8418,30.99,70,75,3.09,AU,1731724713
144,talnakh,69.4865,88.3972,-22.56,98,100,5.39,RU,1731724714
145,cuajinicuilapa,16.4667,-98.4167,24.94,90,76,1.46,MX,1731724715
146,hawaiian paradise park,19.5933,-154.9731,25.73,80,40,3.09,US,1731724717
147,brookings,44.3114,-96.7984,9.0,83,0,8.75,US,1731724444
148,sittwe,20.15,92.9,25.24,70,10,2.03,MM,1731724720
149,colares,38.7992,-9.4469,15.74,86,100,11.27,PT,1731724722
150,fort bragg,35.139,-79.006,9.39,92,0,0.0,US,1731724586
151,tocopilla,-22.092,-70.1979,18.19,74,40,0.77,CL,1731724727
152,hadibu,12.65,54.0333,25.69,86,61,4.16,YE,1731724732
153,polyarnyy,69.1989,33.4478,-1.2,92,67,3.29,RU,1731724734
154,savannakhet,16.566,104.751,27.01,78,20,2.06,LA,1731724736
155,rzhaksa,52.1338,42.0264,-1.41,88,96,3.45,RU,1731724741
156,albina,5.5,-54.05,22.33,98,45,1.3,SR,1731724744
157,san rafael,-34.6177,-68.3301,19.21,43,40,10.68,AR,1731724745
158,namibe,-15.1961,12.1522,22.71,86,99,0.66,AO,1731724746
