City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,turinskaya sloboda,57.6232,64.3858,-2.97,88,100,5.25,RU,['dt']
110,fianarantsoa,-21.4333,47.0833,14.69,95,36,1.27,MG,['dt']
111,invercargill,-46.4,168.35,12.79,56,83,2.24,NZ,['dt']
112,bubaque,11.2833,-15.8333,27.97,75,99,4.22,GW,['dt']
113,mlimba,-8.8,35.8167,23.2,77,28,1.47,TZ,['dt']
114,taksimo,56.3444,114.8794,-15.54,91,100,0.82,RU,['dt']
115,arquitecto tomas romero pereira,-26.4833,-55.25,22.36,56,0,1.49,PY,['dt']
116,revda,56.801,59.9303,-1.99,88,92,5.82,RU,['dt']
117,chonchi,-42.6128,-73.8092,8.95,96,76,1.46,CL,['dt']
118,la'ie,21.6477,-157.9253,27.66,72,0,5.36,US,['dt']
119,senanga,-16.1167,23.2667,20.21,86,100,1.86,ZM,['dt']
120,tortoli,39.9256,9.6572,13.88,56,0,8.75,IT,['dt']
121,puerto natales,-51.7236,-72.4875,3.34,79,30,5.46,CL,['dt']
122,dilling,12.05,29.65,23.78,34,7,4.4,SD,['dt']
123,al hawatah,13.4167,34.6333,28.63,36,14,4.02,SD,['dt']
124,vorgashor,67.5833,63.95,-5.33,97,100,3.13,RU,['dt']
125,hawaiian paradise park,19.5933,-154.9731,26.52,78,40,5.66,US,['dt']
126,palmer,42.1584,-72.3287,8.28,44,7,1.41,US,['dt']
127,kegeyli shahar,42.7767,59.6078,1.81,57,100,2.44,UZ,['dt']
128,tena,-0.9833,-77.8167,21.97,98,99,1.42,EC,['dt']
129,kone,-21.0595,164.8658,29.32,59,98,0.99,NC,['dt']
130,port alfred,-33.5906,26.891,17.82,79,25,3.75,ZA,['dt']
131,kristiansund,63.1115,7.732,6.74,70,75,12.35,NO,['dt']
132,gwanda,-20.9333,29.0,17.18,76,80,1.44,ZW,['dt']
133,dunda,-8.1167,34.25,19.85,73,19,1.0,TZ,['dt']
134,divnogorsk,55.9594,92.3619,-8.73,94,100,4.31,RU,['dt']
135,tofol,5.3248,163.0078,30.88,62,75,3.09,FM,['dt']
136,sept-iles,50.2001,-66.3821,5.24,90,100,6.71,CA,['dt']
137,las lomitas,-24.7096,-60.593,24.03,32,0,2.51,AR,['dt']
138,lata,40.1629,-8.3327,13.03,90,100,2.8,PT,['dt']
139,pamukova,40.5081,30.1673,10.71,93,100,2.38,TR,['dt']
140,prainha,-1.8,-53.48,24.18,83,100,1.75,BR,['dt']
141,donduseni,48.2427,27.6101,1.05,81,19,2.61,MD,['dt']
142,remire-montjoly,4.9167,-52.2667,27.02,89,0,2.57,GF,['dt']
143,jieshi,22.8134,115.8257,24.89,85,5,2.45,CN,['dt']
144,carnarvon,-24.8667,113.6333,22.48,62,98,7.23,AU,['dt']
145,quellon,-43.1167,-73.6167,7.23,90,51,3.06,CL,['dt']
146,palasa,18.7667,84.4167,20.92,73,45,1.54,IN,['dt']
147,hovd,48.0056,91.6419,-7.84,42,17,1.36,MN,['dt']
148,shahrak,34.1074,64.3052,0.82,88,9,1.31,AF,['dt']
149,qaqortoq,60.7167,-46.0333,-3.83,61,100,3.04,GL,['dt']
150,vila franca do campo,37.7167,-25.4333,18.27,99,33,6.81,PT,['dt']
151,esquina,-30.0144,-59.5272,23.36,41,0,2.56,AR,['dt']
152,howard springs,-12.497,131.047,30.55,83,84,1.48,AU,['dt']
153,mount pearl,47.5166,-52.7813,9.85,98,100,8.75,CA,['dt']
154,jilib,0.4883,42.7854,23.83,91,51,1.76,SO,['dt']
155,bikenibeu village,1.3673,173.1241,27.6,67,65,3.76,KI,['dt']
156,mirny,62.5353,113.9611,-25.48,100,97,0.89,RU,['dt']
157,haiku-pauwela,20.9219,-156.3051,27.36,66,0,12.07,US,['dt']
158,nanao,37.05,136.9667,17.39,71,12,1.58,JP,['dt']
159,san pedro pochutla,15.7333,-96.4667,27.06,86,66,1.5,MX,['dt']
160,williams lake,52.1415,-122.1445,1.76,90,20,2.06,CA,['dt']
161,sogndal,61.2283,7.1003,7.21,75,100,6.69,NO,['dt']
162,sitka,57.0531,-135.33,7.94,87,100,8.23,US,['dt']
163,skeldon,5.8833,-57.1333,26.84,80,100,3.84,GY,['dt']
164,robertsport,6.7533,-11.3686,27.02,79,100,3.01,LR,['dt']
165,georgetown,5.4112,100.3354,27.75,82,20,1.54,MY,['dt']
166,yinchuan,38.4681,106.2731,4.63,36,98,2.58,CN,['dt']
167,qianzhou,28.3167,109.7167,19.78,77,74,2.17,CN,['dt']
168,kharp,66.8014,65.8081,-10.41,97,100,1.35,RU,['dt']
169,margaret river,-33.95,115.0667,15.2,54,28,6.44,AU,['dt']
170,tarawa,1.419,172.984,27.69,67,44,3.8,KI,['dt']
171,phek,25.6667,94.5,10.41,95,32,0.67,IN,['dt']
172,nova vicosa,-17.8919,-39.3719,24.09,83,60,3.61,BR,['dt']
173,kokopo,-4.352,152.2633,29.92,61,5,3.61,PG,['dt']
174,tromso,69.6496,18.957,2.01,93,75,1.54,NO,['dt']
175,howrah,22.5892,88.3103,20.0,77,0,0.0,IN,['dt']
176,mawu,34.4307,104.9176,-0.51,55,100,3.0,CN,['dt']
177,st. john's,47.5649,-52.7093,10.31,97,100,8.75,CA,['dt']
178,saint-pierre,-21.3393,55.4781,23.82,69,75,3.09,RE,['dt']
179,brookings,44.3114,-96.7984,10.1,79,100,1.34,US,['dt']
180,bredasdorp,-34.5322,20.0403,13.78,94,38,0.28,ZA,['dt']
181,castillos,-34.1667,-53.8333,17.63,90,1,4.47,UY,['dt']
182,kosh-agach,50.0,88.6667,-19.05,91,34,1.5,RU,['dt']
183,chuarrancho,14.8217,-90.5086,19.88,91,100,0.83,GT,['dt']
184,trairi,-3.2778,-39.2689,25.96,81,1,5.47,BR,['dt']
185,papao,-17.75,-149.55,26.82,88,99,5.61,PF,['dt']
186,pisco,-13.7,-76.2167,19.03,88,0,7.2,PE,['dt']
187,alofi,-19.0595,-169.9187,27.94,65,75,7.72,NU,['dt']
188,kavaratti,10.5669,72.642,28.36,74,73,1.38,IN,['dt']
189,ust-nera,64.5667,143.2,-23.02,96,100,0.87,RU,['dt']
190,port saint john's,-31.6229,29.5448,20.58,92,6,2.99,ZA,['dt']
191,volodarka,49.5248,29.9122,-1.35,91,1,2.88,UA,['dt']
192,mar del plata,-38.0023,-57.5575,23.01,68,0,10.28,AR,['dt']
193,codrington,-38.2667,141.9667,29.81,18,97,10.7,AU,['dt']
194,ulsteinvik,62.3432,5.8487,6.84,76,99,6.26,NO,['dt']
